Key,Location,InstitutionType,total_num_MagMediaItems,storage_TempHumidity,"How many years has your institution been actively digitizing magnetic media? 
What is the annual average amount of magnetic media items your institution has digitized within those years? (e.g. # of years, 500/year)","Given your institution's current funding and resources, what percentage of the total number of magnetic media items do you estimate your institution will digitize before the material becomes unplayable? Explain if necessary.",How would you rate your institution’s audio/visual digitization practices?,Open Reel Video,U-Matic,Betamax,VHS & S-VHS,Betacam & Betacam SP,Video 8 & Hi8,D2,D3,DVCAM,MiniDV,DVCPro,Digital 8,Open Reel Audio,Compact Cassette,Microcassette,DAT,DTRS,F-1,DCC,8-Track,Other
1,Wisconsin,Academic,1315,Room temperature,2 years; 109 total,,Average,2%,2%,1%,64%,,,,,,,,,20%,10%,,,,,,,1%
2,Washington D.C.,Academic,4000,Room temperature,"5 years. Previously about 200 a year, now closer to 500 a year",100%,Above Average,,1%,,99%,,,,,,,,,,,,,,,,,
3,Massachusetts,Academic,6357,Temperature/Humidity controlled,"1 year, 1048 items",95%,Above Average,,2%,,33%,,1%,,,,8%,,,21%,29%,4%,2%,,,,,
4,New York,Academic,3000,Temperature/Humidity controlled,"I don't know about how long they had been digitizing before I started here 6 years ago, but I can definitely say 6+ years, ~50/year",I don't have enough data to make an estimate about this.,Average,,,,40%,2%,,,,4%,20%,,,2%,30%,,2%,,,,,
5,California,Academic,3000,"Archival (vacuum sealed items, cold storage, etc.)","3 years, 300/year",100,Above Average,6%,,1%,20%,,2%,,,,1%,,,30%,40%,,,,,,,
6,Iowa,Academic,4000,"Actively harmful (dirty, hot, humid, etc.)","We've been digitizing for 3 or 4 years, but we can only do a maximum of 20-25/year. We use external vendors, and our budget is extremely small.",10%,Below Average,,,,,,,,,,,,,,,,,,,,,
7,Hawaii,Academic,5000,Uncomfortable for human,"2 years, 200/year",80,Average,,33%,5%,30%,12%,1%,,,,2%,1%,,8%,8%,,,,,,,
8,Pennsylvania,Academic,6000,Room temperature,"10 years, 2-10 items per year","5%. We hope this will change, we are applying for a CLIR/RAR grant and have asked $5,000 for A/V digitization for FY2019/2020. We will know more next spring. Otherwise a/v digitization is driven by researcher requests/funding.",Average,,5%,,75%,5%,,,,,,5%,,,5%,,,,,,,5%
9,Oregon,Academic,1000,Temperature/Humidity controlled,"4 years, >5/year",I am getting volunteer/intern help to do a digitization push in FY19 and 20. I will be happy if VHS Orphan Works are completed in the next two years. The other titles need value analysis.,Average,10%,15%,5%,15%,10%,15%,,,5%,10%,,5%,5%,5%,,,,,,,
10,Colorado,Academic,1300,Temperature/Humidity controlled,"20 years, 50/year",80%,Above Average,30%,,5%,45%,,,,,,,,,2%,15%,2%,,,,,1%,
