Institution-CollectionKey,Total Items,Open Reel Video,U-Matic,Betamax,VHS & S-VHS,Betacam & Betacam SP,Video 8 & Hi8,D2,D3,DVCAM,MiniDV,DVCPro,Digital 8,Open Reel Audio,Compact Cassette,Microcassette,DAT,DTRS,F-1,DCC,8-Track,Other
1,"1,315.00",26.30,26.30,13.15,841.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.00,131.50,0.00,0.00,0.00,0.00,0.00,0.00,13.15
2,"4,000.00",0.00,40.00,0.00,"3,960.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,"6,357.00",0.00,127.14,0.00,"2,097.81",0.00,63.57,0.00,0.00,0.00,508.56,0.00,0.00,"1,334.97","1,843.53",254.28,127.14,0.00,0.00,0.00,0.00,0.00
4,"3,000.00",0.00,0.00,0.00,"1,200.00",60.00,0.00,0.00,0.00,120.00,600.00,0.00,0.00,60.00,900.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00
5,"3,000.00",180.00,0.00,30.00,600.00,0.00,60.00,0.00,0.00,0.00,30.00,0.00,0.00,900.00,"1,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,"4,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,"5,000.00",0.00,"1,650.00",250.00,"1,500.00",600.00,50.00,0.00,0.00,0.00,100.00,50.00,0.00,400.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,"6,000.00",0.00,300.00,0.00,"4,500.00",300.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00
9,"1,000.00",100.00,150.00,50.00,150.00,100.00,150.00,0.00,0.00,50.00,100.00,0.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,"1,300.00",390.00,0.00,65.00,585.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,195.00,26.00,0.00,0.00,0.00,0.00,13.00,0.00
11,"70,000.00",700.00,"1,400.00",700.00,"7,700.00",700.00,0.00,0.00,0.00,700.00,700.00,0.00,0.00,"25,200.00","31,500.00",0.00,700.00,0.00,0.00,0.00,0.00,0.00
12,"726,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,"70,000.00",0.00,"7,000.00",0.00,"1,400.00","28,000.00",0.00,0.00,0.00,"2,100.00","4,900.00",0.00,0.00,0.00,0.00,0.00,700.00,0.00,0.00,0.00,0.00,"25,900.00"
14,"20,000.00","2,000.00","4,000.00",0.00,"4,000.00","4,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,000.00","2,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,600.00,180.00,24.00,24.00,48.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,72.00,48.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00
16,"226,911.00","4,538.22","13,614.66","4,538.22","47,651.31","18,152.88","2,269.11",0.00,0.00,"2,269.11","4,538.22",0.00,0.00,"72,611.52","45,382.20",0.00,"9,076.44",0.00,0.00,0.00,0.00,"2,269.11"
17,"20,000.00",0.00,400.00,200.00,"2,000.00",200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,000.00","1,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
18a,"35,000.00",0.00,350.00,350.00,700.00,0.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700.00,700.00,700.00,0.00,0.00,0.00,0.00,"31,150.00"
18b,"1,000.00",0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,50.00,10.00,30.00,0.00,0.00,0.00,0.00,850.00
20,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,"2,000.00",20.00,120.00,0.00,500.00,20.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,200.00,"1,080.00",20.00,0.00,0.00,0.00,0.00,0.00,0.00
22,"7,500.00",0.00,225.00,0.00,"5,625.00",150.00,0.00,0.00,0.00,0.00,375.00,0.00,0.00,375.00,750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,"40,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,"5,000.00",0.00,100.00,0.00,500.00,"3,750.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00
25,"5,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,"4,350.00",50.00,0.00,0.00,0.00,0.00,50.00,50.00
26,"12,901.00",0.00,0.00,0.00,"3,225.25",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,675.75"
27,350.00,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,"2,000.00",20.00,160.00,40.00,400.00,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,380.00,900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,"3,500.00",70.00,210.00,0.00,420.00,175.00,35.00,0.00,0.00,0.00,140.00,70.00,0.00,"1,750.00",560.00,0.00,35.00,0.00,0.00,0.00,0.00,35.00
30,"75,377.00",0.00,0.00,0.00,"35,427.19",0.00,0.00,0.00,0.00,0.00,"27,135.72",0.00,0.00,0.00,"11,306.55","1,507.54",0.00,0.00,0.00,0.00,0.00,0.00
31,"3,542.00",354.20,"1,771.00",35.42,354.20,885.50,35.42,0.00,0.00,35.42,35.42,0.00,35.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,"5,000.00",0.00,0.00,0.00,"5,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,"7,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,"27,000.00","6,750.00",270.00,270.00,"5,400.00",270.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,"11,340.00",270.00,270.00,0.00,0.00,0.00,270.00,"1,350.00"
36,"50,000.00",500.00,"1,500.00",0.00,"22,500.00","1,000.00",0.00,500.00,500.00,0.00,0.00,0.00,500.00,"2,000.00","15,000.00","2,000.00","2,000.00",0.00,500.00,0.00,0.00,"1,500.00"
37,"7,500.00",225.00,"1,575.00",0.00,"1,200.00","1,350.00",600.00,0.00,0.00,0.00,150.00,225.00,0.00,525.00,"1,500.00",75.00,75.00,0.00,0.00,0.00,0.00,0.00
38,"55,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,"10,000.00",100.00,600.00,0.00,"2,500.00","3,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,500.00","1,600.00",100.00,0.00,0.00,0.00,0.00,0.00,0.00
41,"1,834.00",18.34,476.84,18.34,165.06,36.68,0.00,0.00,0.00,18.34,18.34,220.08,0.00,311.78,183.40,0.00,0.00,0.00,0.00,0.00,0.00,366.80
42a,"15,308.00",0.00,0.00,153.08,"1,071.56",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,592.40","6,735.52",765.40,"1,071.56",0.00,0.00,0.00,918.48,0.00
42b,"5,675.00",0.00,0.00,0.00,"4,540.00",0.00,567.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,300.00,9.00,15.00,6.00,60.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,105.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
44,"5,000.00",250.00,0.00,50.00,"2,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,250.00","1,250.00",50.00,0.00,0.00,0.00,0.00,0.00,150.00
