Format	Quantity	Risk
Open Reel Video	26,188	Extremely High
U-Matic	56,770	Very High
Betamax	7,930	Very High
VHS & S-VHS	163,616	High
Betacam & Betacam SP	74,963	High
Video 8 & Hi8	10,507	Very High
D2	175	Very High
D3	75	Very High
DVCAM	6,002	High
MiniDV	20,489	High
DVCPro	5,345	Very High
Digital 8	175	Very High
Open Reel Audio	186,842	Moderate
Compact Cassette	170,882	Moderate
Microcassette	3,627	High
DAT	14,174	Very High
DTRS	0	Very High
F-1	75	Very High
DCC	0	Very High
8-Track	983	High
Other	67,455	
Unallocated	735,000	
Total	1,551,273	
Rounding Error	3	
